date,yield,close,close_1
2017/1/10,3.1792,200.6097,96.91875882
2017/1/11,3.2055,200.1336,96.89406088
2017/1/12,3.1888,200.4114,96.90974214
2017/1/13,3.2022,200.3427,96.89715917
2017/1/16,3.2496,199.9686,96.85267546
2017/1/17,3.2692,199.6186,96.83429328
2017/1/18,3.2682,199.5055,96.83523098
2017/1/19,3.2584,199.3624,96.84442137
2017/1/20,3.244,199.6465,96.85792879
2017/1/23,3.2429,199.6286,96.85896076
2017/1/24,3.2837,199.0922,96.82069872
2017/1/25,3.3463,198.3371,96.76205147
2017/1/26,3.3465,198.2432,96.76186421
2017/2/3,3.4214,197.6179,96.69178719
2017/2/6,3.4905,197.0289,96.62722665
2017/2/7,3.4866,196.958,96.63086815
2017/2/8,3.4591,197.2926,96.65655317
2017/2/9,3.4148,197.8157,96.69795813
2017/2/10,3.4368,197.4169,96.67739141
2017/2/13,3.4192,197.5618,96.69384408
2017/2/14,3.4107,197.7697,96.70179198
2017/2/15,3.4058,197.8262,96.7063743
2017/2/16,3.3559,198.3673,96.75306393
2017/2/17,3.3311,198.8545,96.77628516
2017/2/20,3.2812,199.2168,96.82304233
2017/2/21,3.3013,199.0555,96.80420285
2017/2/22,3.2839,199.2697,96.82051123
2017/2/23,3.2714,199.3941,96.83223041
2017/2/24,3.2916,199.1934,96.81329363
2017/2/27,3.2871,199.412,96.81751158
2017/2/28,3.2921,199.5201,96.81282499
2017/3/1,3.3252,199.4483,96.78181121
2017/3/2,3.3483,199.361,96.76017893
2017/3/3,3.3573,199.2462,96.75175338
2017/3/6,3.3615,199.281,96.74782196
2017/3/7,3.3643,199.3184,96.7452012
2017/3/8,3.4088,198.9451,96.70356875
2017/3/9,3.4151,198.8972,96.69767761
2017/3/10,3.4156,199.0928,96.69721009
2017/3/13,3.3851,199.1789,96.72573707
2017/3/14,3.3653,199.4343,96.74426524
2017/3/15,3.3524,199.445,96.75634044
2017/3/16,3.3097,199.9678,96.79633181
2017/3/17,3.3124,199.9948,96.7938021
2017/3/20,3.3141,199.725,96.79220939
2017/3/21,3.3141,199.4065,96.79220939
2017/3/22,3.3068,199.6021,96.79904905
2017/3/23,3.3034,199.7738,96.80223497
2017/3/24,3.2529,200.3076,96.84958001
2017/3/27,3.2451,200.4088,96.85689684
2017/3/28,3.2626,200.2237,96.84048242
2017/3/29,3.2695,200.0913,96.83401198
2017/3/30,3.289,199.991,96.81573062
2017/3/31,3.2828,199.9952,96.82154241
2017/4/5,3.3102,200.006,96.79586333
2017/4/6,3.3109,200.1233,96.79520748
2017/4/7,3.2966,200.0609,96.80860745
2017/4/10,3.3166,199.9667,96.78986726
2017/4/11,3.3209,200.0665,96.78583907
2017/4/12,3.3283,200.0107,96.77890762
2017/4/13,3.322,199.8425,96.78480866
2017/4/14,3.3599,199.1531,96.74931961
2017/4/17,3.416,198.3875,96.69683608
2017/4/18,3.4064,198.3252,96.70581318
2017/4/19,3.4065,198.368,96.70571966
2017/4/20,3.424,198.0128,96.68935644
2017/4/21,3.4614,197.4481,96.65440444
2017/4/24,3.4991,197.1653,96.61919765
2017/4/25,3.4568,197.7159,96.65870199
2017/4/26,3.4519,197.7738,96.66328023
2017/4/27,3.4494,197.8228,96.66561623
2017/4/28,3.4668,197.6423,96.64935999
2017/5/2,3.487,197.4353,96.63049465
2017/5/3,3.5219,196.9941,96.59791793
2017/5/4,3.5517,196.5491,96.57011908
2017/5/5,3.5592,196.4639,96.56312525
2017/5/8,3.6042,195.9633,96.5211835
2017/5/9,3.6325,195.613,96.49482546
2017/5/10,3.69,194.7863,96.44131546
2017/5/11,3.64,195.4354,96.48784253
2017/5/12,3.6525,195.4061,96.47620656
2017/5/15,3.61,195.7234,96.51578033
2017/5/16,3.6225,195.5626,96.50413761
2017/5/17,3.6275,195.0637,96.49948132
2017/5/18,3.6075,195.14,96.51810921
2017/5/19,3.625,194.8983,96.50180941
2017/5/22,3.6601,194.4571,96.46913325
2017/5/23,3.6725,194.639,96.45759483
2017/5/24,3.6601,194.9335,96.46913325
2017/5/25,3.6476,195.1774,96.48076752
2017/5/26,3.6501,195.1446,96.47844045
2017/5/31,3.6102,195.8963,96.51559402
2017/6/1,3.6152,195.7949,96.51093662
2017/6/2,3.6277,195.6914,96.49929507
2017/6/5,3.6152,195.9031,96.51093662
2017/6/6,3.6328,195.7112,96.49454613
2017/6/7,3.6427,195.5099,96.48532892
2017/6/8,3.6478,195.5442,96.48058135
2017/6/9,3.6303,195.8118,96.49687398
2017/6/12,3.5841,196.5951,96.53991298
2017/6/13,3.5754,196.7353,96.54802202
2017/6/14,3.5354,197.0981,96.58532251
2017/6/15,3.5554,196.9814,96.56666866
2017/6/16,3.568,196.803,96.55492044
2017/6/19,3.5006,197.7959,96.61779738
2017/6/20,3.4881,197.8948,96.62946754
2017/6/21,3.5406,197.1826,96.58047181
2017/6/22,3.5607,196.9955,96.5617266
2017/6/23,3.5457,197.095,96.57571488
2017/6/26,3.5134,197.5648,96.60585006
2017/6/27,3.5084,197.6729,96.61051663
2017/6/28,3.5333,197.3792,96.58728158
2017/6/29,3.5483,197.2718,96.57328995
2017/6/30,3.5683,196.9777,96.55464075
2017/7/3,3.6033,196.5605,96.52202198
2017/7/4,3.6009,196.6149,96.52425799
